order_id,customer_id,listing_id,quantity,price_at_purchase,order_status,event_timestamp
5001,c048,L017,1,474.8,Placed,"9:33 AM Jul 03, 2023"
5001,c048,L017,1,474.8,shipped,"5:33 PM Jul 05, 2023"
5001,c048,L017,1,474.8,Delivered,"10:33 AM Jul 07, 2023"
5002,c041,L053,2,340.29,placedd,2024-01-12 06:01:07
5002,c041,L053,2,340.29,SHIPPED,01/12/2024 07:01:07
5002,c041,L053,2,340.29,delivred,01/15/2024 03:01:07
5002,c041,L035,3,279.33,PLACED,2024-01-12 05:59:41
5002,c041,L035,3,279.33,shipped,"7:59 AM Jan 14, 2024"
5002,c041,L035,3,279.33,Delivered,2024-01-20 01:59:41
5002,c041,L086,3,430.7,placed,"5:57 AM Jan 12, 2024"
5002,c041,L086,3,430.7,Shipped,2024-01-12 14:57:12
5002,c041,L027,3,405.61,PLACED,2024-01-12 05:59:39
5002,c041,L027,3,405.61,SHIPPED,01/13/2024 08:59:39
5002,c041,L027,3,405.61,delivred,"11:59 AM Jan 18, 2024"
5002,c041,L037,2,265.5,Placed,01/12/2024 05:59:11
5002,c041,L037,2,265.5,shipped,2024-01-12 07:59:11
5002,c041,L037,2,265.5,Delivered,2024-01-14 00:59:11
5003,c025,L005,3,146.74,Placed,2024-03-15 21:37:59
5003,c025,L005,3,146.74,Shipped,03/17/2024 19:37:59
5003,c025,L091,3,349.1,placed,03/15/2024 21:39:08
5003,c025,L091,3,349.1,SHIPPED,03/18/2024 20:39:08
5003,c025,L091,3,349.1,DELIVERED,03/24/2024 19:39:08
5003,c025,L012,1,423.6,placedd,03/15/2024 21:40:10
5003,c025,L012,1,423.6,SHIPPED,"5:40 AM Mar 16, 2024"
5003,c025,L012,1,423.6,delivered,"11:40 AM Mar 19, 2024"
5004,c064,L088,1,357.5,Placed,2024-01-28 10:52:55
5004,c064,L088,1,357.5,Shipped,"1:52 AM Jan 30, 2024"
5004,c064,L088,1,357.5,DELIVERED,01/31/2024 10:52:55
5004,c064,L019,1,12.55,PLACED,"10:51 AM Jan 28, 2024"
5004,c064,L019,1,12.55,Shipped,2024-01-29 04:51:46
5004,c064,L029,3,367.54,PLACED,"10:51 AM Jan 28, 2024"
5004,c064,L029,3,367.54,canceled,"12:39 PM Jan 28, 2024"
5004,c064,L028,2,74.71,Placed,"10:49 AM Jan 28, 2024"
5004,c064,L028,2,74.71,SHIPPED,"8:49 PM Jan 29, 2024"
5005,c131,L062,1,403.24,Placed,2023-07-09 11:17:09
5005,c131,L062,1,403.24,shiped,07/09/2023 16:17:09
5005,c131,L062,1,403.24,DELIVERED,"8:17 AM Jul 13, 2023"
5006,c130,L017,3,239.43,placedd,06/10/2023 14:41:18
5006,c130,L017,3,239.43,shiped,2023-06-11 21:41:18
5006,c130,L017,3,239.43,Delivered,06/13/2023 08:41:18
5006,c130,L076,3,262.4,placed,2023-06-10 14:41:49
5006,c130,L076,3,262.4,shipped,2023-06-11 07:41:49
5006,c130,L076,3,262.4,DELIVERED,06/14/2023 23:41:49
5007,c097,L077,1,442.88,placed,"2:23 AM Sep 16, 2023"
5007,c097,L077,1,442.88,SHIPPED,"1:23 PM Sep 16, 2023"
5007,c097,L077,1,442.88,DELIVERED,"7:23 AM Sep 18, 2023"
5007,c097,L021,3,437.7,PLACED,2023-09-16 02:22:23
5007,c097,L021,3,437.7,SHIPPED,09/16/2023 23:22:23
5007,c097,L021,3,437.7,DELIVERED,09/21/2023 10:22:23
5007,c097,L072,2,255.15,placedd,09/16/2023 02:24:08
5007,c097,L072,2,255.15,SHIPPED,2023-09-16 08:24:08
5007,c097,L072,2,255.15,delivred,09/21/2023 10:24:08
5008,c147,L055,3,121.14,placedd,02/26/2023 11:42:45
5008,c147,L055,3,121.14,Shipped,2023-02-27 07:42:45
5008,c147,L055,3,121.14,DELIVERED,"2:42 AM Mar 03, 2023"
5008,c147,L076,1,401.56,PLACED,2023-02-26 11:42:34
5008,c147,L076,1,401.56,shiped,02/27/2023 09:42:34
5008,c147,L076,1,401.56,delivred,2023-03-01 14:42:34
5008,c147,L071,1,284.35,placed,2023-02-26 11:42:29
5008,c147,L071,1,284.35,shiped,02/26/2023 23:42:29
5008,c147,L071,1,284.35,delivered,"3:42 PM Mar 02, 2023"
5008,c147,L017,2,327.09,Placed,2023-02-26 11:42:30
5008,c147,L017,2,327.09,shipped,"6:42 PM Feb 28, 2023"
5008,c147,L017,2,327.09,delivred,"11:42 AM Mar 05, 2023"
5008,c147,L096,3,174.43,placed,"11:44 AM Feb 26, 2023"
5008,c147,L096,3,174.43,canceledd,"11:49 AM Feb 26, 2023"
5009,c104,L042,1,200.99,PLACED,"1:37 AM Jun 18, 2023"
5009,c104,L042,1,200.99,shiped,2023-06-20 06:37:40
5009,c104,L042,1,200.99,Delivered,06/22/2023 04:37:40
5009,c104,L092,2,70.97,PLACED,06/18/2023 01:39:02
5009,c104,L092,2,70.97,shiped,06/18/2023 11:39:02
5009,c104,L092,2,70.97,delivred,"6:39 PM Jun 21, 2023"
5010,c198,L060,1,308.9,placedd,03/08/2023 01:48:27
5010,c198,L060,1,308.9,shipped,2023-03-10 18:48:27
5010,c198,L060,1,308.9,DELIVERED,"8:48 AM Mar 13, 2023"
5010,c198,L100,1,69.43,Placed,2023-03-08 01:49:55
5010,c198,L100,1,69.43,CANCELLED,03/08/2023 03:18:55
5011,c010,L034,3,116.55,placedd,2024-06-26 02:49:01
5011,c010,L034,3,116.55,shiped,"10:49 PM Jun 27, 2024"
5012,c181,L009,2,79.69,Placed,03/10/2023 15:58:28
5012,c181,L009,2,79.69,shipped,03/12/2023 16:58:28
5012,c181,L009,2,79.69,Delivered,"11:58 PM Mar 16, 2023"
5013,c131,L042,1,419.65,Placed,"7:02 AM Dec 15, 2023"
5013,c131,L042,1,419.65,shipped,12/15/2023 10:02:00
5013,c131,L042,1,419.65,delivered,12/17/2023 19:02:00
5013,c131,L021,3,430.79,Placed,"7:01 AM Dec 15, 2023"
5013,c131,L021,3,430.79,shiped,"6:01 PM Dec 17, 2023"
5013,c131,L021,3,430.79,Delivered,12/21/2023 10:01:30
5013,c131,L014,3,294.63,PLACED,2023-12-15 06:58:19
5013,c131,L014,3,294.63,shipped,"2:58 PM Dec 15, 2023"
5013,c131,L014,3,294.63,DELIVERED,"12:58 AM Dec 18, 2023"
5014,c033,L018,2,445.39,placed,2023-08-21 11:33:07
5014,c033,L018,2,445.39,shipped,"9:33 AM Aug 22, 2023"
5014,c033,L018,2,445.39,DELIVERED,"12:33 AM Aug 25, 2023"
5014,c033,L078,2,282.11,placedd,08/21/2023 11:34:04
5014,c033,L078,2,282.11,SHIPPED,08/22/2023 01:34:04
5014,c033,L078,2,282.11,DELIVERED,2023-08-26 02:34:04
5014,c033,L076,2,120.94,Placed,"11:34 AM Aug 21, 2023"
5014,c033,L076,2,120.94,shiped,08/23/2023 10:34:55
5014,c033,L076,2,120.94,delivred,08/26/2023 14:34:55
5015,c002,L019,3,83.89,PLACED,2024-02-26 22:44:48
5015,c002,L019,3,83.89,Shipped,2024-02-27 19:44:48
5015,c002,L019,3,83.89,delivred,2024-03-02 11:44:48
5015,c002,L012,2,210.85,placed,"10:40 PM Feb 26, 2024"
5015,c002,L012,2,210.85,SHIPPED,02/27/2024 07:40:49
5015,c002,L012,2,210.85,Delivered,"9:40 PM Mar 01, 2024"
5016,c002,L004,2,101.34,placedd,"9:12 PM May 22, 2023"
5016,c002,L004,2,101.34,SHIPPED,2023-05-23 05:12:22
5016,c002,L004,2,101.34,delivred,2023-05-24 20:12:22
5016,c002,L018,2,409.6,placed,"9:07 PM May 22, 2023"
5016,c002,L018,2,409.6,cancelled,2023-05-22 22:45:25
5016,c002,L025,3,431.91,Placed,"9:11 PM May 22, 2023"
5016,c002,L025,3,431.91,shipped,2023-05-22 22:11:30
5016,c002,L025,3,431.91,delivered,"2:11 AM May 26, 2023"
5016,c002,L080,2,85.81,Placed,"9:10 PM May 22, 2023"
5016,c002,L080,2,85.81,SHIPPED,2023-05-25 17:10:37
5016,c002,L080,2,85.81,DELIVERED,"4:10 PM May 27, 2023"
5017,c044,L093,1,180.04,PLACED,"6:14 PM May 24, 2023"
5017,c044,L093,1,180.04,Shipped,05/26/2023 13:14:06
5017,c044,L093,1,180.04,delivred,"6:14 PM May 27, 2023"
5018,c080,L035,2,147.74,placed,03/26/2024 06:41:30
5018,c080,L035,2,147.74,canceledd,03/26/2024 08:04:30
5018,c080,L026,1,462.92,PLACED,2024-03-26 06:44:23
5018,c080,L026,1,462.92,canceled,"7:49 AM Mar 26, 2024"
5018,c080,L017,3,392.6,Placed,2024-03-26 06:44:48
5018,c080,L017,3,392.6,SHIPPED,03/26/2024 19:44:48
5018,c080,L017,3,392.6,delivred,03/31/2024 20:44:48
5018,c080,L083,2,210.2,PLACED,03/26/2024 06:44:02
5018,c080,L083,2,210.2,Shipped,"8:44 PM Mar 26, 2024"
5018,c080,L083,2,210.2,Delivered,03/29/2024 08:44:02
5018,c080,L087,3,490.37,Placed,"6:42 AM Mar 26, 2024"
5018,c080,L087,3,490.37,shipped,2024-03-28 00:42:40
5018,c080,L087,3,490.37,delivered,03/30/2024 14:42:40
5019,c028,L075,2,218.25,placedd,04/23/2024 14:43:00
5019,c028,L075,2,218.25,SHIPPED,2024-04-24 23:43:00
5019,c028,L075,2,218.25,delivered,04/30/2024 08:43:00
5019,c028,L091,3,325.34,PLACED,04/23/2024 14:44:51
5019,c028,L091,3,325.34,shiped,2024-04-24 00:44:51
5019,c028,L017,2,383.78,placedd,04/23/2024 14:42:44
5019,c028,L017,2,383.78,Shipped,"5:42 PM Apr 23, 2024"
5019,c028,L017,2,383.78,DELIVERED,04/27/2024 04:42:44
5020,c175,L024,3,330.38,PLACED,2023-04-25 17:07:32
5020,c175,L024,3,330.38,Shipped,2023-04-28 02:07:32
5020,c175,L024,3,330.38,delivred,2023-04-29 23:07:32
5020,c175,L043,2,43.0,PLACED,04/25/2023 17:06:14
5020,c175,L043,2,43.0,canceledd,"5:45 PM Apr 25, 2023"
5020,c175,L060,2,324.2,placed,04/25/2023 17:04:36
5020,c175,L060,2,324.2,SHIPPED,"2:04 PM Apr 27, 2023"
5021,c103,L069,1,163.27,placedd,"1:12 PM Dec 23, 2023"
5021,c103,L069,1,163.27,Shipped,2023-12-26 06:12:21
5021,c103,L069,1,163.27,Delivered,2023-12-28 13:12:21
5021,c103,L049,1,440.62,placed,12/23/2023 13:12:21
5021,c103,L049,1,440.62,SHIPPED,12/23/2023 21:12:21
